Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
03.12.2018 22:00;4,34927;16,7507;15,1473;15,4123;15,4739;16,4809;27,0006;36,5538;;10,1628;11,6717;45,529;15,6125;29,5739;16,0161;17,8071;21,0;30,1;17,5;20,3;17,8;17,2;17,7;19,0;23,0;28,2;9,4;19,9;7,19288;18,0;13,9;15,4;15,2;24,2;27,3;20,7;18,1;21,1;26,9;33,5;21,1;48,4639;16,0714;9,77032;17,0588;20,626;27,4977;10,644;68,0134;49,7593;44,4073;60,9981;37,9665;38,8163;25,148;7,14769;13,5152;13,3339;20,9077;38,0924;15,676238;;13,79;22,36;28,45;26,37;21,485408;17,14125;22,04;26,17;38,89;34,26;30,0;12,0419;22,9537;19,068;18,0;10,6;8,2;23,1;17,471;8,56257;15,3486;8,29277;8,82413;11,48;;22,4488;19,0388;28,0737;27,2337;17,1283;21,755;11,1942;18,6625;11,2786;8,00406;20,454;12,6959;19,7794;;36,5;30,4;34,0;3,5;13,25;17,9803;8,2131;39,0749;29,8224;33,6565;15,9179;25,7796;55,4464;25,6232;30,617;18,9824;6,63728;28,5148;31,2994;23,2582;14,8674;23,951;22,7451;23,124;26,8439;20,0691;24,9418;28,1301;22,219;19,2837;40,7458;21,599;15,4023;33,494;34,6026;19,1975;13,1981;9,41835;30,0859;13,5301
03.12.2018 23:00;6,0058;17,3833;15,0074;9,74748;14,6549;16,3213;33,8233;28,4712;;9,7836;10,5133;50,0779;14,443;31,1796;18,0415;16,3094;22,3;30,4;17,4;16,9;17,6;17,9;17,7;18,2;23,6;26,7;8,1;19,7;6,35116;16,2;14,8;14,4;14,8;28,0;28,9;28,0;19,6;24,1;24,1;33,1;21,5;46,3306;14,1912;10,8336;18,2984;20,7455;24,7492;14,2348;70,1469;47,1382;32,9284;66,9168;32,2064;21,919;15,353;6,57197;11,984;12,8487;14,2948;33,3633;15,012533;;10,79;19,56;25,85;26,27;20,699321;17,72895;21,94;31,07;43,49;30,96;28,35;13,6009;24,2346;17,1119;17,3;10,1;7,9;22,5;18,9865;8,62153;15,3741;7,44458;8,52399;10,9605;28,8166;17,258;17,5477;28,3224;;14,7652;20,6854;8,48841;16,6162;10,5567;6,95661;23,1353;11,4785;16,8046;;35,4;23,5;36,0;3,0;10,28;11,7828;7,58267;32,1673;30,2229;35,4729;25,2257;27,6162;46,3017;22,4851;33,2985;16,5356;7,10049;30,7519;34,5552;23,9511;13,4982;21,3995;22,9074;23,0922;26,0712;19,5768;24,7219;28,1574;22,0254;21,9033;39,4895;20,2318;16,6797;34,1648;34,2024;22,9828;15,4893;11,8515;28,6354;14,9311
04.12.2018 00:00;13,3967;17,2016;13,2087;8,04421;17,7997;16,681;25,6638;19,3371;;9,02942;9,5924;41,5499;14,5827;27,8065;15,1553;16,5728;23,8;29,2;16,4;18,0;16,0;15,9;18,6;18,1;24,6;28,2;7,1;19,6;5,56683;13,5;14,4;12,4;15,9;24,0;24,6;23,8;19,9;21,9;23,7;27,1;19,5;43,421;14,8853;8,61515;14,6927;18,5062;21,7426;11,3776;55,2009;43,7232;26,7027;78,3591;27,9706;39,0287;15,9732;6,44185;10,9288;10,4211;11,1522;31,1762;14,939361;;7,39;18,56;22,95;27,77;18,713234;17,92485;19,94;28,67;36,29;32,86;27,75;13,8832;22,2841;17,4013;16,4;9,1;7,3;23,0;22,4288;7,66234;17,2696;6,58525;8,7422;8,32145;25,7956;17,1228;16,2547;25,4873;20,8683;12,0583;17,6869;7,58079;12,5705;11,3133;5,67842;14,2922;11,9026;16,0559;;26,4;19,8;35,0;2,8;9,61;8,30239;7,08502;21,6083;19,6793;37,2043;25,3908;29,3407;34,621;21,5494;26,6634;13,9974;6,54808;27,5339;33,7149;23,5448;19,6644;19,3059;21,8393;23,2956;23,2595;18,8529;23,8998;29,403;18,2018;21,3093;37,0919;19,3999;18,8346;34,4337;26,1848;14,468;17,3047;7,86528;27,0187;12,4992
04.12.2018 01:00;9,40279;16,4443;11,4758;9,30188;17,6148;15,5634;24,1533;11,2305;;8,64808;10,2462;32,3155;14,5386;25,5943;15,2163;15,0772;19,8;26,9;15,6;12,2;14,7;15,2;18,6;17,3;23,1;24,4;6,6;19,5;5,27988;12,2;14,7;12,2;14,7;21,3;22,2;22,9;15,9;20,7;24,1;21,2;17,2;30,9372;13,4602;8,32623;17,0725;16,6508;18,4731;18,4179;46,2123;37,4591;21,6396;69,0875;23,0554;35,6848;12,8141;6,20125;10,3591;8,47288;10,7448;30,6876;15,267334;;6,49;17,76;24,25;25,17;19,227147;16,8474;19,64;25,07;31,19;30,26;26,7;10,9037;19,3725;14,7893;15,9;8,8;6,6;22,1;27,5448;7,14929;13,4111;6,12371;8,92094;6,91825;22,2364;12,9077;15,0868;17,4369;15,3916;11,4371;9,82202;7,86243;11,2412;7,4963;5,54451;12,2212;7,95453;17,1516;;20,2;15,8;34,0;2,0;17,595;6,6306;6,3744;20,5811;18,0254;31,4625;21,5663;20,485;30,7354;17,7941;32,2347;14,0272;6,34232;21,0847;31,8932;24,229;13,5147;16,0443;22,6704;22,3322;23,0964;17,3992;21,4511;23,118;20,9788;17,5906;33,2799;18,6707;20,3551;31,5039;16,9081;10,4693;18,7328;7,28622;24,583;10,7927
04.12.2018 02:00;4,49745;16,0576;10,9165;8,54027;16,6896;14,6022;25,4779;11,5609;;9,19353;10,3514;29,3211;15,3565;26,2295;15,2785;14,7054;20,1;25,5;16,3;14,7;16,1;13,0;18,1;14,5;22,5;18,5;7,6;18,6;5,03119;11,2;13,4;11,6;13,8;20,6;19,4;19,1;15,1;14,3;23,0;24,5;15,1;30,4157;15,007;8,76333;20,9582;15,6149;18,216;31,075;35,0457;33,3306;16,8808;50,4471;20,3809;32,3388;11,6257;6,27402;9,58656;7,13354;11,4577;28,6965;13,683795;;6,39;16,96;23,15;23,17;18,34106;15,96585;19,14;23,47;28,59;25,06;24,9;9,17176;21,2139;13,8923;15,1;9,6;6,6;22,9;30,342;8,02243;11,7179;5,4662;7,80492;5,898;18,6889;9,45491;13,3321;11,379;12,9649;7,35495;8,46439;7,12433;9,90569;5,72664;5,59271;9,95838;7,2694;15,5793;;17,4;13,4;33,0;1,6;14,01;6,71306;6,50664;19,2071;18,3271;33,1812;30,4396;26,2831;32,197;15,6505;29,4984;13,4504;6,18735;21,7166;28,8951;20,8999;10,9674;14,2628;21,7491;21,7299;21,732;16,687;18,2242;21,3458;21,1441;15,5609;29,8769;17,0229;16,8994;26,9433;14,1979;10,4188;17,4305;6,93419;19,7032;10,9218
04.12.2018 03:00;5,35944;16,0576;13,9884;6,58418;15,4675;16,5161;25,7727;10,5146;;9,12555;8,9471;27,8132;12,9851;22,4402;14,1079;14,8536;17,4;23,2;15,9;14,8;14,6;13,9;17,1;14,6;18,9;21,6;8,7;19,1;4,72511;10,6;13,3;12,0;12,3;22,1;20,4;23,7;15,6;10,8;20,7;20,1;15,4;30,9233;13,7841;9,9254;15,5817;13,5381;17,4056;26,1389;36,2529;29,9844;14,0702;42,7399;16,7105;28,9047;13,2264;5,69192;9,7204;7,11174;12,5168;27,3735;13,123977;;6,09;17,06;25,55;22,47;20,154973;15,76995;18,24;19,67;24,39;22,96;23,55;8,96462;19,5578;14,1122;14,9;9,8;7,1;22,1;24,5745;8,78458;11,4014;5,19639;7,23495;5,97534;14,5062;8,63943;12,129;7,31608;27,4352;8,78917;8,54385;6,36763;10,1453;6,8106;4,91465;7,99709;6,78732;11,393;;21,3;12,9;28,0;0,9;7,915;7,0814;6,086;15,7214;14,3862;30,9755;23,5118;26,9555;35,3495;14,8793;30,4157;8,73572;6,58051;23,644;24,4152;20,4469;9,46865;13,4292;19,7867;19,9021;20,4457;17,0189;15,7279;21,6542;22,3261;13,8504;28,9585;16,6906;12,4948;24,2325;16,7142;10,516;14,9811;6,36896;14,6762;11,2288
04.12.2018 04:00;4,59305;16,2196;14,3208;8,07289;16,0119;17,022;28,4426;11,7044;;10,1485;9,81546;33,5742;14,4542;24,6563;14,664;14,5631;18,8;22,1;16,5;14,9;11,6;12,6;16,2;13,2;19,7;18,0;8,7;18,2;4,47642;10,9;12,0;12,4;12,3;23,1;19,6;26,0;13,6;10,2;16,3;20,6;15,3;25,8502;11,6769;9,81175;8,46591;11,9628;15,9801;24,9129;46,4572;30,6233;11,8294;;17,9603;22,6036;16,9146;5,72803;10,238;6,73457;12,0508;24,3791;13,874032;;5,79;16,36;25,05;23,77;21,968886;14,79045;18,54;18,97;25,89;24,26;22,05;10,6525;18,9328;14,3697;15,8;10,2;6,8;21,5;20,5939;9,22859;11,1624;4,67484;8,74753;6,01112;17,6248;8,57897;11,2567;7,79398;33,9475;9,83973;10,0073;6,50845;8,50026;10,2032;4,86859;10,2545;;9,66278;;26,6;14,8;26,0;0,7;5,285;7,31946;6,5077;16,0342;12,8529;31,2017;25,1513;27,2534;32,7085;15,7115;25,1922;11,7917;6,62763;23,9818;22,1187;21,0941;11,1953;12,616;14,8516;17,1815;18,0938;17,5314;13,4503;21,6834;21,0548;12,6733;31,3484;16,0169;14,5951;22,4947;17,244;11,4141;14,2513;11,9764;13,1779;10,2919
04.12.2018 05:00;4,36255;15,7581;12,7419;16,0491;17,4629;14,9299;27,1435;12,3452;;9,51167;10,3715;34,5844;15,0862;24,2997;16,7507;14,1323;22,0;22,8;17,2;15,0;11,3;10,7;15,1;12,7;18,1;19,0;9,3;19,5;4,36164;10,5;11,2;13,6;12,2;26,0;22,0;31,6;17,9;9,8;20,7;19,0;15,3;20,3038;10,7327;10,1708;11,3302;10,497;12,3489;32,9644;50,7379;30,0763;16,2541;39,0112;18,7682;25,0854;17,6863;5,54692;9,59575;7,5552;7,51852;24,6536;17,706675;;5,69;18,86;24,35;21,67;22,9828;15,37815;18,74;17,37;24,59;24,06;22,05;12,573;14,8455;17,6;17,7;11,4;8,5;22,0;17,3811;8,98587;11,3121;4,82461;9,69404;6,38661;11,7025;8,55775;10,6199;10,0302;28,5833;9,67234;8,94595;8,48097;9,76382;14,4612;4,77719;15,0681;7,30648;9,42684;;26,3;12,2;29,0;0,7;5,605;10,0345;8,05908;15,8669;13,645;25,3807;8,9301;26,9873;45,2661;20,4006;21,7761;9,193;6,75887;23,96;27,1175;21,7846;9,90257;13,5051;12,9381;14,9917;18,4022;17,2117;10,909;20,699;21,8865;12,7673;28,8877;17,0244;16,8216;22,9658;16,8176;12,9198;12,5618;12,7986;9,17121;9,06076
04.12.2018 06:00;4,55268;21,6513;14,4861;8,83025;19,2082;14,6072;12,2246;12,6416;;8,58647;13,9539;40,955;16,5563;24,7422;19,2756;14,1945;25,6;27,8;18,5;16,6;12,7;13,4;14,9;13,9;14,8;23,7;8,5;23,3;4,17034;15,5;12,2;14,8;12,2;29,0;24,7;25,2;17,8;10,0;25,7;24,8;19,1;16,3582;9,04939;8,84459;11,8533;35,76;12,0546;23,8551;50,9488;37,8125;17,6138;38,4748;22,8861;17,405;18,3607;5,73494;10,4781;11,7558;17,0624;25,9235;17,517765;;7,49;21,96;26,95;22,47;25,696713;16,94535;19,54;18,37;36,29;24,56;20,4;12,7785;17,6182;19,0371;18,5;12,7;9,4;22,5;23,8672;8,50574;13,2948;5,8624;9,07587;8,9062;16,3528;17,0911;11,1138;17,2818;36,2414;11,588;15,6794;10,0725;12,6812;15,4964;4,42884;16,4352;10,4661;10,0948;;26,1;11,5;32,0;0,7;5,15;13,6257;12,8444;22,2923;14,7532;35,7964;10,8506;31,967;66,6831;17,095;28,0246;13,3617;8,03932;22,1117;32,6692;20,1811;10,6031;19,3144;15,3534;12,7823;23,353;17,9085;10,473;22,2367;24,0748;13,7972;31,7149;17,7663;20,9114;22,7831;24,0707;22,3725;12,3016;10,4077;6,75573;1,52641
04.12.2018 07:00;4,9542;22,0108;24,9876;5,5926;20,9704;16,621;13,4493;11,9435;;6,29579;29,0539;69,7476;23,7311;33,8595;20,3412;14,3963;31,8;31,5;18,8;21,5;17,9;16,1;17,7;17,4;18,8;27,2;9,3;22,8;4,07469;23,4;12,2;22,0;12,8;30,1;27,8;26,2;17,8;9,1;21,8;29,8;21,4;10,5314;7,4266;6,63252;16,4193;17,02;14,9402;31,4234;54,7085;55,8416;21,7092;56,9383;27,0807;29,611;34,2118;6,06582;16,8861;19,9751;26,3509;27,9386;17,976887;;8,39;24,16;26,05;23,27;26,010626;18,31665;23,44;23,97;49,89;26,16;18,9;15,0395;21,3555;21,826;20,4;16,1;10,2;24,9;25,9598;8,07023;18,8709;8,58329;25,3839;16,5983;28,5034;17,3872;12,9106;18,6272;39,2177;13,6716;16,5101;12,6667;14,6224;13,5322;4,6317;15,6018;14,9092;14,3135;;28,1;12,4;31,0;1,5;4,405;21,1265;18,6266;30,4535;16,857;39,947;12,6139;30,4008;69,8645;17,8399;28,7724;17,2367;9,35657;19,035;23,516;16,9418;11,165;23,2903;17,156;14,2194;25,0291;20,973;10,9562;20,2035;25,2379;15,5516;36,2013;19,1591;27,8554;25,8433;29,5055;44,6564;10,6158;10,2403;10,7152;1,16313
04.12.2018 08:00;6,12424;16,3343;35,2348;8,35385;34,2561;12,8031;18,3903;15,1745;;5,11301;35,8447;65,0341;36,8373;38,803;27,9125;13,0659;34,5;35,5;18,2;25,2;18,6;16,3;19,7;18,7;22,0;41,2;11,6;27,7;4,61033;35,1;15,3;20,8;13,5;32,8;32,2;27,4;18,6;12,6;29,9;28,8;26,2;14,1451;4,67261;5,44973;15,9657;7,64971;17,2723;22,341;67,9836;67,0188;33,1615;82,3482;43,2599;41,7379;21,6264;7,06059;23,4586;30,7315;40,1022;33,1477;14,718675;;7,79;25,06;27,25;23,87;24,224539;21,25515;28,74;36,07;67,09;24,56;18,45;20,1944;28,5165;26,3081;21,4;18,9;10,0;26,9;27,2634;8,40324;22,6572;9,95621;;21,2253;30,2453;27,8845;15,2423;24,1853;41,7256;14,8996;26,5919;15,6287;18,5126;8,99535;6,28686;19,1784;25,013;25,6677;;38,4;14,1;37,0;4,1;4,345;31,0654;14,4059;38,6925;21,3284;40,8541;14,9407;30,8411;89,2846;22,4027;32,2151;21,0856;11,3976;29,9621;26,1503;16,4741;13,521;25,4211;24,3661;18,3722;32,9581;22,9461;10,9476;21,6882;26,697;18,4466;33,3455;22,3308;21,946;30,217;36,1893;49,7173;13,7202;7,10564;22,5175;1,26723
04.12.2018 09:00;5,59472;6,17788;52,7888;8,16849;35,3056;16,4284;18,5156;9,22618;;3,33113;25,0892;77,445;41,4384;64,6029;23,532;7,55698;41,0;34,0;17,4;27,2;15,7;18,5;20,5;19,4;22,5;31,3;11,4;27,0;4,70598;34,7;18,4;19,2;14,2;38,5;34,2;28,0;20,3;13,8;30,2;30,8;27,4;19,3834;3,47044;7,88328;13,4993;6,64766;19,0302;13,997;65,9591;69,8549;40,0883;78,1015;41,4867;39,3808;22,4075;7,0197;27,0543;29,7655;31,473;35,8558;15,171153;;7,69;24,56;26,45;22,67;24,138452;24,4875;30,24;36,97;64,69;24,16;19,2;20,7516;31,8213;26,1896;20,3;17,1;9,6;26,6;;7,95126;25,0493;12,0653;;25,4955;35,2581;27,8467;17,6509;26,8326;34,3427;18,2224;23,6408;18,5433;21,453;12,5487;6,28261;22,8239;28,7901;;;42,9;16,4;36,0;6,0;5,5;38,2314;17,3663;42,4724;25,5942;42,1182;16,0911;32,0117;92,3942;25,4807;37,2612;26,5423;15,2259;32,7271;29,7279;13,6771;17,293;21,5605;23,0045;17,8044;28,7581;24,9298;10,8281;20,6139;25,0329;21,4442;33,4266;21,4524;12,3093;34,7506;35,9029;59,0118;16,7475;;23,729;18,0036
04.12.2018 10:00;2,50897;6,43229;31,6701;9,29338;49,8596;11,75;12,5502;11,5066;;1,77869;14,8201;64,4408;40,7314;49,6104;23,6541;;29,7;24,9;14,7;30,9;14,7;13,7;20,8;18,1;23,3;32,8;5,0;25,8;4,36164;33,0;17,6;20,2;12,6;38,2;33,5;27,6;21,5;13,8;29,0;28,2;26,4;12,2092;3,38366;6,8184;6,80884;7,62512;22,1181;18,5172;66,1163;51,1433;49,4018;51,7339;46,6879;32,2145;34,0159;7,76166;18,216;27,1869;30,1205;31,8858;14,9604;;7,89;22,16;25,95;19,67;23,552365;24,38955;29,54;34,67;71,19;24,06;20,1;23,174;32,3385;33,0739;17,2;15,9;8,8;21,6;;8,70168;25,5382;13,3219;21,1534;21,9158;38,5025;23,3204;20,4168;26,6201;17,7568;9,5565;6,97203;17,3716;18,9752;9,61055;3,37481;21,9735;23,7701;15,2424;;45,9;18,5;32,0;5,8;8,685;32,3858;15,7692;42,3959;24,3684;41,4022;18,2182;33,196;78,5922;25,0825;37,1411;26,0993;17,3459;31,6824;31,1305;13,8136;13,1126;22,7209;21,8023;13,1694;25,9618;19,8991;10,4856;16,143;24,5433;19,0011;16,6833;17,7861;8,52808;21,135;15,4336;48,3656;15,0565;6,37692;22,0342;2,99865
04.12.2018 11:00;3,18348;6,49124;12,6658;8,23913;47,4144;11,5609;12,7679;10,8777;;2,01504;9,93974;41,3104;16,721;27,3331;19,3978;12,5517;29,1;21,0;14,7;28,7;15,6;10,4;21,5;17,4;22,2;27,2;3,2;24,4;4,2086;31,0;21,3;23,2;13,9;35,7;;30,7;24,1;15,7;24,5;28,8;28,0;9,95621;3,5218;6,26127;8,82122;8,38292;16,8543;14,7851;61,0553;39,716;36,3705;49,1623;43,9487;32,6293;24,0024;8,64012;25,6346;27,2434;35,4904;14,3586;13,96676;;8,59;25,56;28,35;23,87;24,566278;21,549;26,64;37,27;66,29;25,26;22,05;23,3174;25,111;28,7678;18,5;18,2;7,3;;17,6131;;;14,2125;10,6497;24,8969;20,5459;16,1543;21,0463;22,4105;10,782;7,36771;7,53406;17,2127;18,569;9,39874;2,74534;20,8727;21,1286;12,0216;;40,5;22,4;28,0;5,1;9,12;36,8635;15,6874;45,4004;23,4979;40,0362;18,6972;33,0872;87,1989;27,8929;35,1542;24,6414;15,2955;31,309;33,9274;14,8138;13,7483;24,608;21,1121;14,5243;24,055;20,11;11,0566;13,8609;16,5926;17,6943;13,7792;6,79187;7,25555;26,2815;17,5163;38,487;14,7038;6,96506;18,6128;1,36336
04.12.2018 12:00;2,99122;6,1832;12,1648;8,03252;15,3374;12,3752;12,2501;12,572;;0,95016;21,7687;45,4665;9,66038;15,8019;15,9625;10,1756;26,2;20,8;7,2;21,0;8,9;5,5;25,7;12,2;22,3;25,1;3,3;26,7;4,7825;32,1;24,7;29,2;14,3;37,2;;25,9;23,7;13,8;24,5;23,0;28,3;9,79156;4,27688;;7,05422;7,44677;16,5069;15,3525;58,9404;45,3319;36,2436;56,7524;49,2559;28,8377;17,1294;9,3534;28,8654;35,7631;32,1023;17,541;13,896882;;9,69;26,26;29,25;26,37;25,580191;17,92485;23,54;37,57;73,99;27,66;22,05;26,1647;25,8893;29,5214;19,5;15,5;7,4;23,2;13,445;8,08069;23,7561;22,1426;9,90957;19,333;20,2127;15,1928;20,1369;18,0401;9,67417;6,64396;7,06636;38,2557;17,4333;8,90501;3,30166;20,4616;17,9631;10,7229;;41,7;17,4;26,0;7,2;11,55;39,0542;13,4302;48,1463;23,4762;49,4581;18,7551;34,6725;87,0847;27,403;39,008;24,8326;13,9672;32,626;32,069;14,7052;16,4166;22,3274;20,2874;16,0661;23,4151;23,1957;12,458;13,4705;9,4175;15,0611;11,0254;6,76799;7,12948;24,1831;18,075;32,4174;12,1901;5,47719;16,7746;1,4409
04.12.2018 13:00;2,69911;6,18744;12,4085;7,33358;13,9336;9,7817;11,805;11,1179;;0,91245;4,17082;;10,0693;10,2796;16,4166;8,18177;22,2;17,5;6,1;11,8;4,6;5,2;27,8;6,8;15,8;41,3;2,7;34,6;5,5477;33,2;25,5;28,2;8,5;36,1;24,1;26,6;21,3;11,8;22,9;26,1;21,7;9,86804;4,83157;3,93022;5,58463;6,50388;13,384;16,522;59,0068;47,0501;34,7506;50,4152;49,6364;26,8663;17,673;9,72093;41,5754;45,3263;33,0909;24,9362;14,844614;;8,79;30,66;27,55;26,27;30,418081;15,8679;22,04;34,97;69,59;32,66;20,1;15,8393;11,3441;9,84765;18,4;19,2;7,4;21,7;;8,56364;26,4541;21,5174;9,17922;20,8089;23,9434;14,0234;17,5017;15,4585;8,88997;6,82091;6,70219;43,9432;16,4926;9,0081;;20,0427;15,865;10,6033;;40,0;17,2;31,0;8,4;14,88;39,5156;14,271;43,1799;20,7627;41,9233;16,3864;33,6209;83,4742;28,5921;43,9569;26,8583;16,9243;35,047;26,7314;14,3371;15,6412;20,9555;23,5361;17,6584;17,3009;19,6123;13,5485;11,0803;6,97642;16,1591;9,54967;6,60782;6,91145;23,4273;12,8305;;11,1762;5,40784;16,3471;
04.12.2018 14:00;3,05814;5,46142;12,1326;7,95286;19,097;8,00881;10,8203;9,19669;;0,57413;3,60146;43,6467;13,1192;41,2435;17,3721;9,66835;18,7;19,3;6,5;11,0;5,4;4,7;25,9;6,2;18,3;44,9;3,3;34,2;6,14073;32,4;27,2;26,6;5,2;17,4;19,7;20,7;15,2;9,1;20,0;22,9;15,5;9,85079;5,17865;4,7885;7,69527;8,95922;18,2017;18,2873;55,2025;38,0467;39,2767;46,7489;51,6091;30,1013;21,7674;11,0206;43,2027;37,1375;39,785;27,0086;16,191685;;6,99;32,86;25,45;26,67;29,539385;13,22325;16,94;32,07;56,59;32,86;18,6;7,03828;12,3455;9,47836;20,9;18,0;7,4;23,5;17,672;8,8515;29,1952;16,8575;9,94304;21,9221;24,4617;13,5993;15,0446;15,9669;7,81824;6,8698;5,28473;25,3823;16,1464;6,94752;3,49431;19,1832;16,3811;10,2005;;40,7;15,3;30,0;20,1;18,115;41,3197;18,7461;21,28;10,7306;33,0744;7,36651;27,263;45,7637;13,7085;33,3984;26,6527;20,9054;18,309;13,5343;14,3229;18,582;19,1264;23,8264;22,3311;15,0326;18,4949;13,6435;10,3805;7,24607;14,6084;9,88009;5,37571;7,36292;27,9168;18,7911;;13,9746;5,65629;17,4775;1,69682
04.12.2018 15:00;3,96528;5,26756;12,2405;7,54496;18,2336;10,0504;17,0763;15,3353;;0,59591;5,53524;61,2206;;14,7243;18,1544;17,7991;28,2;26,2;4,8;7,8;4,7;4,6;24,3;6,0;14,2;41,4;4,1;34,3;6,73376;36,0;30,8;25,4;5,2;25,2;23,7;24,9;12,3;7,3;17,9;20,2;18,5;11,191;5,16479;6,46256;10,4852;9,02691;19,8147;22,8039;55,2019;40,3267;41,6795;50,4938;52,5059;27,6013;29,4346;15,8181;46,0351;43,6089;18,0158;31,9251;14,197383;;6,19;28,66;21,45;30,97;25,06069;13,713;17,04;36,67;54,69;30,66;17,55;8,58913;12,2477;9,77138;22,0;24,0;7,3;28,2;20,1081;11,7338;37,6213;14,9258;13,5965;23,1559;26,7754;19,7305;14,9121;18,0702;10,4426;5,75547;6,09691;13,441;14,6785;10,3927;3,27743;17,6756;19,9643;11,9855;;37,3;16,3;26,0;27,3;20,91;40,5746;19,9652;24,0849;8,58945;11,0044;12,9046;22,716;27,7796;12,2171;14,9704;12,6866;23,1632;9,32031;10,5904;7,51901;27,4365;19,1094;22,9119;24,1698;11,4555;20,3612;13,3798;10,6639;7,4445;17,758;12,4536;7,31617;9,67786;30,1634;18,4557;36,8734;14,1339;6,69812;22,5409;1,96777
04.12.2018 16:00;3,12081;9,01774;13,9001;15,5138;27,4064;11,3109;23,3105;16,7041;;1,72399;5,87303;67,0868;16,1038;21,6353;21,6688;15,9466;34,7;26,8;6,7;16,5;5,3;6,9;25,6;7,0;18,8;47,9;3,4;39,2;7,2694;36,6;32,3;29,2;5,3;26,2;22,3;25,2;15,2;7,5;22,7;32,4;19,4;15,944;5,96448;8,73784;16,4852;10,175;21,7639;8,25347;32,0901;31,4381;37,2192;47,9875;47,1132;21,467;31,9389;20,4722;54,2371;50,1774;10,5501;22,4888;5,727309;;3,39;20,56;19,75;31,07;23,781994;13,61505;18,84;31,37;63,09;31,46;17,85;10,6121;19,8759;11,9712;22,8;34,0;7,7;22,7;21,4771;10,1347;40,6927;14,9593;20,4419;26,7606;24,6182;21,0439;13,9984;23,0804;11,1802;6,11522;;11,935;16,821;11,2569;3,19365;24,1694;21,1247;12,8118;;31,6;16,8;17,0;26,7;18,34;51,7794;17,1581;34,4361;14,0327;13,3722;10,0006;30,2719;31,495;11,6598;20,8046;15,2007;24,5696;9,28498;12,0456;7,26866;22,2346;44,112;20,8759;29,5011;14,8084;17,9308;6,41415;12,734;8,25666;19,2099;13,2857;8,06056;12,9734;36,0263;28,2275;36,0311;15,4675;8,59274;23,3705;2,91421
04.12.2018 17:00;4,98713;8,40696;23,5781;11,916;39,2635;10,2771;26,7144;31,753;;1,2821;3,97324;63,0142;27,5764;33,5813;18,1486;22,97;43,0;25,2;8,6;20,0;14,0;7,2;26,2;11,7;31,4;38,1;3,0;39,1;8,85719;35,0;28,0;30,6;5,5;36,4;28,2;37,2;15,2;7,9;20,5;29,1;25,1;14,9646;6,79557;10,6233;19,1572;9,05489;27,1079;12,4164;44,5563;34,6683;31,6553;52,1222;44,208;28,6072;15,3152;24,1624;31,813;33,0751;15,4523;14,998;5,385095;;2,09;22,26;18,85;15,47;27,003298;14,79045;21,34;30,57;63,79;27,26;18,15;14,9226;26,582;15,0007;22,7;31,4;7,6;20,6;26,3748;9,82927;31,5438;15,6359;17,8777;23,9398;17,9014;18,9422;13,2768;22,8494;10,0193;6,9782;6,92398;8,97728;16,325;9,63621;3,26007;23,5482;21,9772;11,7464;;25,8;13,6;13,0;23,8;7,05;43,4573;20,0595;31,445;13,3798;13,1514;7,50938;26,6018;37,333;16,0427;26,2496;18,045;28,2101;10,1092;15,5913;9,83326;29,8086;34,9933;23,5862;22,0432;18,0365;16,8803;5,70657;20,1483;11,1405;23,0423;16,841;11,589;15,2873;38,2995;38,8564;47,8887;18,71;6,38247;31,1868;3,18879
04.12.2018 18:00;4,84745;13,8307;16,336;21,8802;43,9314;11,4484;28,6528;30,1522;;3,92279;2,52756;54,076;25,0291;30,8357;16,4719;20,9178;36,4;23,8;10,5;32,2;7,1;8,0;26,9;15,1;29,5;28,1;3,4;34,0;10,61715;29,4;14,1;34,2;10,1;33,0;26,0;31,9;18,9;6,6;26,8;41,7;21,7;17,7083;6,54796;8,29224;13,3649;10,2365;17,9765;16,6029;44,7497;41,429;36,2542;49,3317;18,6147;27,7606;18,8064;9,80378;12,5634;19,2694;16,5039;13,2693;5,327174;;1,69;26,86;13,85;17,17;26,624603;18,70845;25,44;24,87;65,89;30,06;22,65;15,1627;31,2925;13,82;9,7;26,5;10,7;20,0;22,3102;10,2398;17,9409;17,0072;17,9419;31,0132;16,9015;19,8651;12,5599;18,7876;10,4615;6,90115;6,72926;15,3749;16,98;7,61663;4,24236;16,5641;16,7648;12,417;;21,9;9,4;16,0;15,6;2,55;45,1657;22,9759;37,7811;14,7511;11,3174;11,3116;24,9426;39,7075;17,8012;25,5746;19,4732;26,5025;12,6999;19,7871;11,9216;18,7472;25,0451;16,6743;15,6577;10,5596;15,5812;3,66552;17,2262;10,8664;22,3518;18,6079;10,9924;12,3642;32,9124;29,6256;24,8682;12,898;5,38913;27,0516;3,59881
